gpa,attendance,family_income,previous_scholarship,extracurricular,category,eligible
3.55,71.9,115057,0,0,st,1
3.52,89.3,134147,0,0,general,1
3.29,91.1,141812,0,1,obc,1
3.66,81.6,51324,0,1,sc,1
3.56,59.7,98609,0,0,obc,1
3.49,98.4,109782,0,0,ews,1
2.26,73.8,90586,0,0,ews,0
3.66,90.2,212322,0,1,ews,1
2.4,50.4,201648,0,1,sc,0
2.92,78.4,20868,0,1,general,1
3.13,88.2,148754,0,1,sc,1
2.06,71.8,245891,0,1,ews,0
2.12,64.1,230401,0,1,ews,0
3.33,70.3,111474,0,0,st,1
3.44,73.1,182659,0,0,general,1
2.89,69.1,68826,0,0,ews,1
2.24,98.1,99170,0,0,st,1
3.56,85.8,199783,0,0,obc,1
2.91,60.1,183744,0,0,ews,0
3.52,86.0,169864,0,1,obc,1
2.17,70.8,199278,0,0,general,0
2.21,79.4,200849,1,1,general,0
3.18,51.1,48056,0,1,st,1
2.97,74.5,116998,0,0,st,1
2.66,76.0,214247,0,1,obc,1
2.28,77.7,87134,0,0,general,0
3.45,88.4,88321,1,0,general,1
3.11,68.5,85769,1,0,st,1
2.58,75.8,227516,1,0,ews,1
2.87,99.6,48066,1,1,st,1
3.04,65.8,17263,0,0,sc,1
3.49,63.1,13263,0,0,st,1
2.31,59.0,99395,1,0,obc,0
3.55,98.6,130835,0,0,obc,1
2.26,83.9,242695,0,1,general,0
2.4,90.2,17974,0,0,sc,1
2.6,74.4,132992,1,0,sc,1
2.05,77.8,47273,0,0,sc,1
3.93,79.8,55189,1,0,st,1
2.04,55.5,80527,1,0,st,0
3.21,93.4,191298,0,0,sc,1
3.3,93.4,77230,0,0,obc,1
3.63,55.3,221828,0,0,general,1
2.62,57.2,229833,0,0,st,0
2.23,51.1,180750,0,0,general,0
3.36,69.7,209115,0,1,ews,1
2.09,59.1,223609,0,1,ews,0
2.1,68.7,232344,0,1,obc,0
3.85,55.0,211237,1,1,st,1
3.56,82.1,158675,0,0,sc,1
3.72,73.1,198624,0,0,ews,1
2.96,70.8,155794,0,0,ews,0
2.76,84.3,68036,1,1,ews,1
2.66,76.8,240597,0,1,st,1
3.27,64.4,54059,0,1,sc,1
3.23,54.8,160005,0,1,sc,1
3.92,90.0,108798,1,1,obc,1
2.51,79.5,23934,0,0,general,1
3.14,73.3,173667,1,1,obc,1
3.2,96.6,213120,0,0,general,1
